is_aml_paper,arxiv_id,found_in_artifacts,num_artifacts,paper_title,paper_authors,paper_pub_date,first_adoption_date,first_adoption_artifact,all_adoptions,adoption_lag_months,G1,G2,G3,G4,G5,G6,T1,T2,Q1
YES,2311.08268,PyRIT,1,A Wolf in Sheep's Clothing: Generalized Nested Jailbreak Prompts can Fool Large Language Models Easily,Peng Ding; Jun Kuang; Dan Ma; Xuezhi Cao; Yunsen Xian...,2023-11-14,2024-05-28,PyRIT,PyRIT:2024-05-28; PyRIT:2024-05-28; PyRIT:2024-05-28,6.4,,,,,,,,,
YES,2312.02119,PyRIT,1,Tree of Attacks: Jailbreaking Black-Box LLMs Automatically,Anay Mehrotra; Manolis Zampetakis; Paul Kassianik; Blaine Nelson; Hyrum Anderson...,2023-12-04,2024-07-26,PyRIT,PyRIT:2025-07-02; PyRIT:2025-08-22; PyRIT:2024-08-05; PyRIT:2024-08-05; PyRIT:2024-07-26,7.7,,,,,,,,,
YES,2312.04960,RobustBench,1,MIMIR: Masked Image Modeling for Mutual Information-based Adversarial Robustness,Xiaoyun Xu; Shujian Yu; Zhuoran Liu; Stjepan Picek,2023-12-08,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2025-02-02; RobustBench:2025-02-02,-41.3,,,,,,,,,
YES,2401.06373,"HarmBench, PyRIT",2,How Johnny Can Persuade LLMs to Jailbreak Them: Rethinking Persuasion to Challenge AI Safety by Humanizing LLMs,Yi Zeng; Hongpeng Lin; Jingwen Zhang; Diyi Yang; Ruoxi Jia...,2024-01-12,2024-02-06,HarmBench,PyRIT:2024-03-19; PyRIT:2024-06-25; PyRIT:2024-06-25; PyRIT:2024-06-25; PyRIT:2024-06-25; PyRIT:2024-06-25; HarmBench:2024-02-06,0.8,,,,,,,,,
YES,2401.15817,PyRIT,1,Transparency Attacks: How Imperceptible Image Layers Can Fool AI Perception,Forrest McKee; David Noever,2024-01-29,2025-09-26,PyRIT,PyRIT:2025-09-26; PyRIT:2025-12-29,19.9,,,,,,,,,
YES,2402.02263,RobustBench,1,MixedNUTS: Training-Free Accuracy-Robustness Balance via Nonlinearly Mixed Classifiers,Yatong Bai; Mo Zhou; Vishal M. Patel; Somayeh Sojoudi,2024-02-03,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2024-03-17; RobustBench:2024-03-17; RobustBench:2024-03-17,-43.2,,,,,,,,,
YES,2402.04249,"HarmBench, PyRIT",2,HarmBench: A Standardized Evaluation Framework for Automated Red Teaming and Robust Refusal,Mantas Mazeika; Long Phan; Xuwang Yin; Andy Zou; Zifan Wang...,2024-02-06,2024-02-02,HarmBench,PyRIT:2025-12-03; HarmBench:2024-02-02,-0.1,,,,,,,,,
YES,2402.16717,PyRIT,1,CodeChameleon: Personalized Encryption Framework for Jailbreaking Large Language Models,Huijie Lv; Xiao Wang; Yuansen Zhang; Caishuang Huang; Shihan Dou...,2024-02-26,2024-06-21,PyRIT,PyRIT:2024-06-21; PyRIT:2024-06-21,3.8,,,,,,,,,
YES,2403.02817,MITRE ATLAS,1,Here Comes The AI Worm: Unleashing Zero-click Worms that Target GenAI-Powered Applications,Stav Cohen; Ron Bitton; Ben Nassi,2024-03-05,2024-10-01,MITRE ATLAS,MITRE ATLAS:2024-10-01,6.9,,,,,,,,,
NO - Exclude,2403.12025,PyRIT,1,A Toolbox for Surfacing Health Equity Harms and Biases in Large Language Models,Stephen R. Pfohl; Heather Cole-Lewis; Rory Sayres; Darlene Neal; Mercy Asiedu...,2024-03-18,2025-12-03,PyRIT,PyRIT:2025-12-03,20.5,,,,,,,,,
YES,2404.01318,PyRIT,1,JailbreakBench: An Open Robustness Benchmark for Jailbreaking Large Language Models,Patrick Chao; Edoardo Debenedetti; Alexander Robey; Maksym Andriushchenko; Francesco Croce...,2024-03-28,2025-12-03,PyRIT,PyRIT:2025-12-03,20.2,,,,,,,,,
YES,2404.09349,RobustBench,1,Adversarial Robustness Limits via Scaling-Law and Human-Alignment Studies,Brian R. Bartoldson; James Diffenderfer; Konstantinos Parasyris; Bhavya Kailkhura,2024-04-14,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2024-06-25; RobustBench:2024-06-25,-45.5,,,,,,,,,
YES,2404.15881,IBM ART,1,Steal Now and Attack Later: Evaluating Robustness of Object Detection against Black-box Adversarial Attacks,Erh-Chung Chen; Pin-Yu Chen; I-Hsin Chung; Che-Rung Lee,2024-04-24,2024-04-28,IBM ART,IBM ART:2024-04-28,0.1,,,,,,,,,
YES,2406.05927,RobustBench,1,MeanSparse: Post-Training Robustness Enhancement Through Mean-Centered Feature Sparsification,Sajjad Amini; Mohammadreza Teymoorianfard; Shiqing Ma; Amir Houmansadr,2024-06-09,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2024-06-25; RobustBench:2024-06-25; RobustBench:2024-06-25; RobustBench:2024-06-25; RobustBench:2024-06-25; RobustBench:2024-06-25,-47.4,,,,,,,,,
YES,2406.11717,MITRE ATLAS,1,Refusal in Language Models Is Mediated by a Single Direction,Andy Arditi; Oscar Obeso; Aaquib Syed; Daniel Paleka; Nina Panickssery...,2024-06-17,2025-12-24,MITRE ATLAS,MITRE ATLAS:2025-12-24,18.2,,,,,,,,,
YES,2406.14598,PyRIT,1,SORRY-Bench: Systematically Evaluating Large Language Model Safety Refusal,Tinghao Xie; Xiangyu Qi; Yi Zeng; Yangsibo Huang; Udari Madhushani Sehwag...,2024-06-20,2025-12-03,PyRIT,PyRIT:2025-12-03,17.4,,,,,,,,,
YES,2406.15513,PyRIT,1,PKU-SafeRLHF: Towards Multi-Level Safety Alignment for LLMs with Human Preference,Jiaming Ji; Donghai Hong; Borong Zhang; Boyuan Chen; Juntao Dai...,2024-06-20,2025-12-03,PyRIT,PyRIT:2025-12-03,17.4,,,,,,,,,
NO - Exclude,2406.18682,PyRIT,1,The Multilingual Alignment Prism: Aligning Global and Local Preferences to Reduce Harm," Aakanksha; Arash Ahmadian; Beyza Ermis; Seraphina Goldfarb-Tarrant; Julia Kreutzer...",2024-06-26,2025-12-03,PyRIT,PyRIT:2025-12-03,17.2,,,,,,,,,
YES,2407.11969,PyRIT,1,Does Refusal Training in LLMs Generalize to the Past Tense?,Maksym Andriushchenko; Nicolas Flammarion,2024-07-16,2024-07-08,PyRIT,PyRIT:2024-07-08,-0.3,,,,,,,,,
YES,2408.03972,IBM ART,1,Enhancing Output Diversity Improves Conjugate Gradient-based Adversarial Attacks,Keiichiro Yamamura; Issa Oe; Hiroki Ishikura; Katsuki Fujisawa,2024-08-07,2019-11-08,IBM ART,IBM ART:2019-11-08,-57.0,,,,,,,,,
YES,2409.11445,PyRIT,1,Jailbreaking Large Language Models with Symbolic Mathematics,Emet Bethany; Mazal Bethany; Juan Arturo Nolazco Flores; Sumit Kumar Jha; Peyman Najafirad,2024-09-17,2024-10-23,PyRIT,PyRIT:2024-10-23,1.2,,,,,,,,,
YES,2409.20139,RobustBench,1,Characterizing Model Robustness via Natural Input Gradients,Adrián Rodríguez-Muñoz; Tongzhou Wang; Antonio Torralba,2024-09-30,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2024-12-20; RobustBench:2024-12-20,-51.1,,,,,,,,,
YES,2410.02828,PyRIT,1,PyRIT: A Framework for Security Risk Identification and Red Teaming in Generative AI System,Gary D. Lopez Munoz; Amanda J. Minnich; Roman Lutz; Richard Lundeen; Raja Sekhar Rao Dheekonda...,2024-10-01,2023-12-12,PyRIT,PyRIT:2023-12-12,-9.7,,,,,,,,,
NO - Exclude,2501.01151,PyRIT,1,Characteristic oscillations in frequency-resolved heat dissipation of linear time-delayed Langevin systems: Approach from the violation of the fluctuation-response relation,Xin Wang; Ruicheng Bao; Naruo Ohga,2025-01-02,2026-01-14,PyRIT,PyRIT:2026-01-14,12.4,,,,,,,,,
YES,2503.13081,PyRIT,1,A Framework to Assess Multilingual Vulnerabilities of LLMs,Likai Tang; Niruth Bogahawatta; Yasod Ginige; Jiarui Xu; Shixuan Sun...,2025-03-17,2025-12-03,PyRIT,PyRIT:2025-12-03,8.6,,,,,,,,,
NO - Exclude,2505.21605,PyRIT,1,SOSBENCH: Benchmarking Safety Alignment on Scientific Knowledge,Fengqing Jiang; Fengbo Ma; Zhangchen Xu; Yuetai Li; Bhaskar Ramasubramanian...,2025-05-27,2025-12-03,PyRIT,PyRIT:2025-12-03,6.2,,,,,,,,,
